Timestamp,Date,Time,Emotion,Score
1770231972.6853325,2026-02-05,00:36:12,sad,0.9099
1770231972.7364268,2026-02-05,00:36:12,neutral,0.8421
1770231972.755059,2026-02-05,00:36:12,neutral,0.8791
1770231972.9687636,2026-02-05,00:36:12,fear,0.5203
1770231972.727371,2026-02-05,00:36:12,neutral,0.8679
1770231972.873366,2026-02-05,00:36:12,neutral,0.8584
1770231972.8839698,2026-02-05,00:36:12,neutral,0.8549
1770231973.1207542,2026-02-05,00:36:13,neutral,0.9176
1770231973.1323125,2026-02-05,00:36:13,neutral,0.8202
1770231973.1486506,2026-02-05,00:36:13,neutral,0.6446
1770231973.2631702,2026-02-05,00:36:13,neutral,0.8609
1770231973.3621607,2026-02-05,00:36:13,neutral,0.8122
1770231973.4657967,2026-02-05,00:36:13,neutral,0.8614
1770231973.6677468,2026-02-05,00:36:13,sad,0.5155
1770231973.9602046,2026-02-05,00:36:13,neutral,0.8734
1770231974.1268623,2026-02-05,00:36:14,sad,0.6252
1770231974.1836007,2026-02-05,00:36:14,sad,0.4863
1770231974.528761,2026-02-05,00:36:14,neutral,0.9098
1770231974.9440832,2026-02-05,00:36:14,neutral,0.8321
1770231975.12521,2026-02-05,00:36:15,neutral,0.8840
1770231975.196825,2026-02-05,00:36:15,neutral,0.8573
1770231975.2075655,2026-02-05,00:36:15,neutral,0.6921
1770231974.608467,2026-02-05,00:36:14,sad,0.9456
1770231975.2284179,2026-02-05,00:36:15,neutral,0.9108
1770231975.625694,2026-02-05,00:36:15,neutral,0.8029
1770231974.8900464,2026-02-05,00:36:14,neutral,0.7107
1770231975.640077,2026-02-05,00:36:15,neutral,0.8465
1770231975.6676986,2026-02-05,00:36:15,neutral,0.4475
1770231975.8610027,2026-02-05,00:36:15,neutral,0.7169
1770231975.8998544,2026-02-05,00:36:15,sad,0.5126
1770231976.1663806,2026-02-05,00:36:16,neutral,0.6820
1770231975.807771,2026-02-05,00:36:15,sad,0.7257
1770231976.2802505,2026-02-05,00:36:16,neutral,0.6995
1770231976.3749642,2026-02-05,00:36:16,sad,0.9392
1770231976.389902,2026-02-05,00:36:16,sad,0.4775
1770231976.4020069,2026-02-05,00:36:16,sad,0.5088
1770231976.4901536,2026-02-05,00:36:16,sad,0.5578
1770231976.7197428,2026-02-05,00:36:16,sad,0.5112
1770231976.8911812,2026-02-05,00:36:16,happy,0.4148
